term,mean,ci_low,ci_high,pd,rope_perc,rate_ratio_mean,rate_ratio_ci_l,rate_ratio_ci_h
dominanttree1Ilex:dominanttree2Fraxinus:dominanttree3Fagus,-0.003,-3.982,4.062,0.503,0.039,0.997,0.019,58.092
dominanttree1Ilex:dominanttree2Fraxinus:dominanttree3Ilex,-0.001,-3.92,3.895,0.501,0.04,0.999,0.02,49.15
dominanttree1Ilex:dominanttree2Fraxinus:dominanttree3Pinus,0.02,-3.907,3.942,0.503,0.04,1.02,0.02,51.507
dominanttree1Ilex:dominanttree2Fraxinus:dominanttree3Quercus,0.004,-3.962,3.966,0.502,0.041,1.004,0.019,52.747
dominanttree1Ilex:dominanttree2Fraxinus:dominanttree3Rubus,0,-3.928,3.942,0.501,0.039,1,0.02,51.529
dominanttree1Ilex:dominanttree2Fraxinus:dominanttree3Sambucus,0.015,-3.914,3.961,0.501,0.044,1.015,0.02,52.495
dominanttree1Ilex:dominanttree2Picea,-0.019,-4.072,3.943,0.506,0.04,0.982,0.017,51.566
dominanttree1Ilex:dominanttree2Picea:dominanttree3Acer,-0.005,-3.931,3.979,0.503,0.042,0.995,0.02,53.461
dominanttree1Ilex:dominanttree2Picea:dominanttree3Betula,-0.001,-3.86,3.813,0.5,0.04,0.999,0.021,45.271
dominanttree1Ilex:dominanttree2Picea:dominanttree3Eucalyptus,0.009,-3.868,3.939,0.504,0.043,1.009,0.021,51.363
dominanttree1Ilex:dominanttree2Picea:dominanttree3Fagus,0.025,-3.99,4.021,0.501,0.037,1.025,0.019,55.74
dominanttree1Ilex:dominanttree2Picea:dominanttree3Ilex,-0.015,-3.93,3.882,0.505,0.04,0.985,0.02,48.502
dominanttree1Ilex:dominanttree2Picea:dominanttree3Pinus,-0.004,-3.84,3.791,0.504,0.04,0.996,0.021,44.283
dominanttree1Ilex:dominanttree2Picea:dominanttree3Quercus,-0.004,-3.915,3.95,0.502,0.038,0.996,0.02,51.943
dominanttree1Ilex:dominanttree2Picea:dominanttree3Rubus,-0.003,-3.939,3.971,0.501,0.035,0.997,0.019,53.014
dominanttree1Ilex:dominanttree2Picea:dominanttree3Sambucus,-0.01,-3.968,3.912,0.504,0.039,0.99,0.019,50.022
dominanttree1Ilex:dominanttree2Pinus,0.005,-3.927,3.958,0.501,0.04,1.005,0.02,52.333
dominanttree1Ilex:dominanttree2Pinus:dominanttree3Acer,0.027,-3.873,3.922,0.503,0.039,1.028,0.021,50.517
dominanttree1Ilex:dominanttree2Pinus:dominanttree3Betula,-0.002,-3.987,3.942,0.502,0.04,0.998,0.019,51.526
dominanttree1Ilex:dominanttree2Pinus:dominanttree3Eucalyptus,-0.002,-3.907,3.875,0.501,0.04,0.998,0.02,48.171
dominanttree1Ilex:dominanttree2Pinus:dominanttree3Fagus,0.004,-4.009,3.953,0.5,0.042,1.004,0.018,52.092
dominanttree1Ilex:dominanttree2Pinus:dominanttree3Ilex,-0.002,-3.908,3.938,0.502,0.039,0.998,0.02,51.29
dominanttree1Ilex:dominanttree2Pinus:dominanttree3Pinus,0.028,-3.861,3.929,0.502,0.039,1.028,0.021,50.852
dominanttree1Ilex:dominanttree2Pinus:dominanttree3Quercus,-0.001,-4.03,4.05,0.502,0.037,0.999,0.018,57.419
dominanttree1Ilex:dominanttree2Pinus:dominanttree3Rubus,-0.013,-3.847,3.885,0.505,0.037,0.987,0.021,48.66
dominanttree1Ilex:dominanttree2Pinus:dominanttree3Sambucus,0.007,-3.966,3.951,0.501,0.041,1.007,0.019,51.977
dominanttree1Ilex:dominanttree2Prunus,0,-3.859,3.948,0.5,0.038,1,0.021,51.841
dominanttree1Ilex:dominanttree2Prunus:dominanttree3Acer,-0.001,-3.896,3.911,0.5,0.039,0.999,0.02,49.94
dominanttree1Ilex:dominanttree2Prunus:dominanttree3Betula,0.003,-3.776,3.776,0.501,0.039,1.003,0.023,43.647
dominanttree1Ilex:dominanttree2Prunus:dominanttree3Eucalyptus,-0.011,-3.912,3.8,0.503,0.037,0.989,0.02,44.715
dominanttree1Ilex:dominanttree2Prunus:dominanttree3Fagus,0.022,-3.864,3.952,0.503,0.041,1.022,0.021,52.054
dominanttree1Ilex:dominanttree2Prunus:dominanttree3Ilex,-0.012,-3.853,3.829,0.504,0.041,0.988,0.021,46.006
dominanttree1Ilex:dominanttree2Prunus:dominanttree3Pinus,-0.001,-3.875,3.836,0.501,0.04,0.999,0.021,46.329
dominanttree1Ilex:dominanttree2Prunus:dominanttree3Quercus,-0.002,-3.967,3.961,0.502,0.04,0.998,0.019,52.492
dominanttree1Ilex:dominanttree2Prunus:dominanttree3Rubus,0.017,-3.868,3.934,0.502,0.041,1.017,0.021,51.087
dominanttree1Ilex:dominanttree2Prunus:dominanttree3Sambucus,-0.004,-4.02,4.046,0.502,0.043,0.996,0.018,57.161
dominanttree1Ilex:dominanttree2Quercus,0.012,-3.813,3.818,0.502,0.04,1.012,0.022,45.524
dominanttree1Ilex:dominanttree2Quercus:dominanttree3Acer,0.001,-3.871,3.779,0.502,0.041,1.001,0.021,43.776
dominanttree1Ilex:dominanttree2Quercus:dominanttree3Betula,-0.013,-3.971,3.971,0.502,0.04,0.987,0.019,53.03
dominanttree1Ilex:dominanttree2Quercus:dominanttree3Eucalyptus,-0.004,-3.993,3.975,0.5,0.035,0.996,0.018,53.249
dominanttree1Ilex:dominanttree2Quercus:dominanttree3Fagus,0.007,-3.975,4.015,0.501,0.036,1.007,0.019,55.425
dominanttree1Ilex:dominanttree2Quercus:dominanttree3Ilex,-0.014,-3.946,3.89,0.501,0.039,0.986,0.019,48.894
dominanttree1Ilex:dominanttree2Quercus:dominanttree3Pinus,-0.011,-4.035,3.977,0.502,0.04,0.989,0.018,53.333
dominanttree1Ilex:dominanttree2Quercus:dominanttree3Quercus,-0.013,-3.963,3.938,0.507,0.042,0.987,0.019,51.3
dominanttree1Ilex:dominanttree2Quercus:dominanttree3Rubus,0.01,-3.909,3.965,0.501,0.041,1.01,0.02,52.738
dominanttree1Ilex:dominanttree2Quercus:dominanttree3Sambucus,0.013,-3.943,3.966,0.502,0.042,1.014,0.019,52.749
dominanttree1Ilex:dominanttree3Acer,0.009,-3.753,3.834,0.506,0.039,1.009,0.023,46.226
dominanttree1Ilex:dominanttree3Betula,0.011,-3.896,3.894,0.506,0.041,1.011,0.02,49.128
dominanttree1Ilex:dominanttree3Eucalyptus,0,-3.856,3.95,0.503,0.039,1,0.021,51.942
dominanttree1Ilex:dominanttree3Fagus,-0.005,-3.941,3.947,0.501,0.041,0.995,0.019,51.801
dominanttree1Ilex:dominanttree3Ilex,-0.008,-3.864,3.886,0.504,0.039,0.992,0.021,48.731
dominanttree1Ilex:dominanttree3Pinus,-0.012,-3.938,3.963,0.501,0.041,0.988,0.019,52.606
dominanttree1Ilex:dominanttree3Quercus,0.423,-3.198,4.101,0.589,0.042,1.526,0.041,60.398
dominanttree1Ilex:dominanttree3Rubus,0.003,-3.893,3.911,0.501,0.041,1.003,0.02,49.943
dominanttree1Ilex:dominanttree3Sambucus,0,-3.923,3.905,0.504,0.041,1,0.02,49.646
dominanttree1Pinus,-1.244,-3.856,1.348,0.827,0.038,0.288,0.021,3.85
dominanttree1Pinus:dominanttree2Acer,-0.006,-3.985,3.913,0.501,0.04,0.994,0.019,50.03
dominanttree1Pinus:dominanttree2Acer:dominanttree3Acer,-0.004,-3.876,3.976,0.506,0.04,0.996,0.021,53.32
dominanttree1Pinus:dominanttree2Acer:dominanttree3Betula,-0.004,-3.895,3.888,0.504,0.039,0.996,0.02,48.821
dominanttree1Pinus:dominanttree2Acer:dominanttree3Eucalyptus,-0.003,-3.916,3.878,0.501,0.039,0.997,0.02,48.326
dominanttree1Pinus:dominanttree2Acer:dominanttree3Fagus,-0.015,-3.877,3.885,0.505,0.037,0.985,0.021,48.689
dominanttree1Pinus:dominanttree2Acer:dominanttree3Ilex,0.004,-3.876,3.817,0.5,0.04,1.004,0.021,45.446
dominanttree1Pinus:dominanttree2Acer:dominanttree3Pinus,-0.004,-3.899,3.918,0.5,0.038,0.996,0.02,50.306
dominanttree1Pinus:dominanttree2Acer:dominanttree3Quercus,-0.007,-3.946,3.863,0.503,0.042,0.993,0.019,47.62
dominanttree1Pinus:dominanttree2Acer:dominanttree3Rubus,-0.002,-3.935,3.992,0.504,0.037,0.998,0.02,54.147
dominanttree1Pinus:dominanttree2Acer:dominanttree3Sambucus,0.018,-3.897,3.967,0.506,0.041,1.018,0.02,52.803
dominanttree1Pinus:dominanttree2Alnus,0,-4.033,3.968,0.504,0.039,1,0.018,52.882
dominanttree1Pinus:dominanttree2Alnus:dominanttree3Acer,-0.007,-3.933,3.969,0.502,0.039,0.993,0.02,52.948
dominanttree1Pinus:dominanttree2Alnus:dominanttree3Betula,0,-3.948,3.885,0.503,0.036,1,0.019,48.645
dominanttree1Pinus:dominanttree2Alnus:dominanttree3Eucalyptus,-0.009,-3.997,3.984,0.5,0.041,0.991,0.018,53.751
dominanttree1Pinus:dominanttree2Alnus:dominanttree3Fagus,0.009,-3.948,3.931,0.5,0.038,1.009,0.019,50.933
dominanttree1Pinus:dominanttree2Alnus:dominanttree3Ilex,-0.008,-3.843,3.832,0.501,0.042,0.992,0.021,46.155
dominanttree1Pinus:dominanttree2Alnus:dominanttree3Pinus,0.011,-3.808,3.831,0.503,0.039,1.011,0.022,46.103
dominanttree1Pinus:dominanttree2Alnus:dominanttree3Quercus,0.007,-3.904,3.956,0.501,0.043,1.007,0.02,52.224
dominanttree1Pinus:dominanttree2Alnus:dominanttree3Rubus,-0.005,-3.846,3.888,0.501,0.039,0.995,0.021,48.794
dominanttree1Pinus:dominanttree2Alnus:dominanttree3Sambucus,0.001,-3.928,3.966,0.501,0.04,1.001,0.02,52.767
dominanttree1Pinus:dominanttree2Betula,-0.003,-3.956,3.953,0.501,0.038,0.997,0.019,52.075
dominanttree1Pinus:dominanttree2Betula:dominanttree3Acer,-0.01,-3.852,3.915,0.507,0.039,0.99,0.021,50.128
dominanttree1Pinus:dominanttree2Betula:dominanttree3Betula,0.006,-3.991,4.011,0.501,0.044,1.006,0.018,55.184
dominanttree1Pinus:dominanttree2Betula:dominanttree3Eucalyptus,0.001,-4.026,3.984,0.501,0.036,1.001,0.018,53.733
dominanttree1Pinus:dominanttree2Betula:dominanttree3Fagus,0.001,-3.806,3.846,0.5,0.043,1.001,0.022,46.782
dominanttree1Pinus:dominanttree2Betula:dominanttree3Ilex,0.005,-4.003,3.941,0.502,0.039,1.005,0.018,51.481
dominanttree1Pinus:dominanttree2Betula:dominanttree3Pinus,-0.012,-3.941,3.923,0.505,0.041,0.988,0.019,50.539
dominanttree1Pinus:dominanttree2Betula:dominanttree3Quercus,0.008,-3.905,3.94,0.503,0.042,1.008,0.02,51.413
dominanttree1Pinus:dominanttree2Betula:dominanttree3Rubus,0.018,-3.884,3.901,0.504,0.04,1.018,0.021,49.434
dominanttree1Pinus:dominanttree2Betula:dominanttree3Sambucus,-0.001,-3.87,3.883,0.501,0.043,0.999,0.021,48.569
dominanttree1Pinus:dominanttree2Cedrus,-0.021,-4.001,3.864,0.502,0.041,0.98,0.018,47.647
dominanttree1Pinus:dominanttree2Cedrus:dominanttree3Acer,0.001,-3.854,3.904,0.501,0.041,1.001,0.021,49.611
dominanttree1Pinus:dominanttree2Cedrus:dominanttree3Betula,-0.002,-3.959,3.909,0.502,0.037,0.998,0.019,49.851
dominanttree1Pinus:dominanttree2Cedrus:dominanttree3Eucalyptus,0,-3.845,3.884,0.502,0.039,1,0.021,48.617
dominanttree1Pinus:dominanttree2Cedrus:dominanttree3Fagus,-0.006,-3.886,3.923,0.502,0.037,0.994,0.021,50.553
dominanttree1Pinus:dominanttree2Cedrus:dominanttree3Ilex,-0.01,-3.927,3.84,0.501,0.042,0.99,0.02,46.511
dominanttree1Pinus:dominanttree2Cedrus:dominanttree3Pinus,-0.013,-3.864,3.943,0.506,0.04,0.987,0.021,51.558
dominanttree1Pinus:dominanttree2Cedrus:dominanttree3Quercus,-0.009,-3.913,3.882,0.5,0.039,0.991,0.02,48.508
dominanttree1Pinus:dominanttree2Cedrus:dominanttree3Rubus,0.001,-3.98,4.003,0.5,0.04,1.001,0.019,54.751
dominanttree1Pinus:dominanttree2Cedrus:dominanttree3Sambucus,0.023,-4.032,4.031,0.503,0.036,1.023,0.018,56.343
dominanttree1Pinus:dominanttree2Crataegus,0.028,-3.885,3.921,0.506,0.038,1.028,0.021,50.459
dominanttree1Pinus:dominanttree2Crataegus:dominanttree3Acer,-0.002,-3.869,3.814,0.5,0.042,0.998,0.021,45.345
dominanttree1Pinus:dominanttree2Crataegus:dominanttree3Betula,0.005,-3.904,3.935,0.502,0.041,1.005,0.02,51.162
dominanttree1Pinus:dominanttree2Crataegus:dominanttree3Eucalyptus,0.005,-3.924,3.926,0.502,0.039,1.005,0.02,50.724
dominanttree1Pinus:dominanttree2Crataegus:dominanttree3Fagus,0.005,-3.872,3.853,0.507,0.041,1.005,0.021,47.15
dominanttree1Pinus:dominanttree2Crataegus:dominanttree3Ilex,0.022,-3.878,3.902,0.503,0.037,1.023,0.021,49.494
dominanttree1Pinus:dominanttree2Crataegus:dominanttree3Pinus,-0.003,-3.962,3.914,0.501,0.039,0.997,0.019,50.079
dominanttree1Pinus:dominanttree2Crataegus:dominanttree3Quercus,0,-3.985,3.968,0.503,0.039,1,0.019,52.858
dominanttree1Pinus:dominanttree2Crataegus:dominanttree3Rubus,0.017,-3.834,3.913,0.503,0.041,1.017,0.022,50.069
dominanttree1Pinus:dominanttree2Crataegus:dominanttree3Sambucus,-0.008,-3.97,3.936,0.501,0.042,0.992,0.019,51.189
dominanttree1Pinus:dominanttree2Fagus,1.297,-1.939,4.459,0.788,0.036,3.66,0.144,86.362
dominanttree1Pinus:dominanttree2Fagus:dominanttree3Acer,0.001,-3.837,3.886,0.501,0.043,1.001,0.022,48.699
dominanttree1Pinus:dominanttree2Fagus:dominanttree3Betula,-0.013,-4.051,3.965,0.501,0.04,0.988,0.017,52.701
dominanttree1Pinus:dominanttree2Fagus:dominanttree3Eucalyptus,0.001,-3.813,3.908,0.504,0.039,1.001,0.022,49.796
dominanttree1Pinus:dominanttree2Fagus:dominanttree3Fagus,0.003,-3.837,3.82,0.5,0.039,1.003,0.022,45.608
dominanttree1Pinus:dominanttree2Fagus:dominanttree3Ilex,-0.022,-4.02,3.951,0.507,0.039,0.978,0.018,51.977
dominanttree1Pinus:dominanttree2Fagus:dominanttree3Pinus,-0.002,-3.942,3.934,0.5,0.038,0.998,0.019,51.097
dominanttree1Pinus:dominanttree2Fagus:dominanttree3Quercus,0.065,-3.444,3.594,0.513,0.045,1.067,0.032,36.364
dominanttree1Pinus:dominanttree2Fagus:dominanttree3Rubus,-0.009,-3.867,3.879,0.502,0.039,0.991,0.021,48.398
dominanttree1Pinus:dominanttree2Fagus:dominanttree3Sambucus,0.01,-3.905,3.953,0.501,0.04,1.011,0.02,52.09
dominanttree1Pinus:dominanttree2Fraxinus,0,-3.962,3.908,0.502,0.039,1,0.019,49.794
dominanttree1Pinus:dominanttree2Fraxinus:dominanttree3Acer,-0.014,-4.007,3.959,0.501,0.04,0.986,0.018,52.411
dominanttree1Pinus:dominanttree2Fraxinus:dominanttree3Betula,-0.01,-3.951,3.911,0.502,0.037,0.99,0.019,49.967
dominanttree1Pinus:dominanttree2Fraxinus:dominanttree3Eucalyptus,-0.018,-3.914,3.962,0.503,0.039,0.983,0.02,52.583
dominanttree1Pinus:dominanttree2Fraxinus:dominanttree3Fagus,0.006,-3.914,3.994,0.501,0.042,1.006,0.02,54.295
dominanttree1Pinus:dominanttree2Fraxinus:dominanttree3Ilex,-0.002,-3.96,4.021,0.501,0.04,0.998,0.019,55.778
dominanttree1Pinus:dominanttree2Fraxinus:dominanttree3Pinus,-0.012,-3.92,3.866,0.502,0.04,0.989,0.02,47.756
dominanttree1Pinus:dominanttree2Fraxinus:dominanttree3Quercus,-0.016,-4.008,3.962,0.503,0.04,0.984,0.018,52.557
dominanttree1Pinus:dominanttree2Fraxinus:dominanttree3Rubus,0,-3.86,3.823,0.501,0.039,1,0.021,45.754
dominanttree1Pinus:dominanttree2Fraxinus:dominanttree3Sambucus,0.003,-3.91,3.902,0.501,0.04,1.003,0.02,49.493
dominanttree1Pinus:dominanttree2Picea,-0.003,-4.006,3.899,0.503,0.038,0.997,0.018,49.33
dominanttree1Pinus:dominanttree2Picea:dominanttree3Acer,-0.02,-3.93,3.837,0.502,0.04,0.98,0.02,46.375
dominanttree1Pinus:dominanttree2Picea:dominanttree3Betula,0.015,-3.93,4.063,0.504,0.041,1.015,0.02,58.122
dominanttree1Pinus:dominanttree2Picea:dominanttree3Eucalyptus,0.01,-4.053,4.006,0.502,0.037,1.01,0.017,54.952
dominanttree1Pinus:dominanttree2Picea:dominanttree3Fagus,-0.003,-3.99,3.903,0.501,0.042,0.997,0.019,49.543
dominanttree1Pinus:dominanttree2Picea:dominanttree3Ilex,-0.002,-3.88,3.841,0.506,0.039,0.998,0.021,46.587
dominanttree1Pinus:dominanttree2Picea:dominanttree3Pinus,-0.03,-3.967,3.921,0.506,0.037,0.97,0.019,50.427
dominanttree1Pinus:dominanttree2Picea:dominanttree3Quercus,0.006,-3.87,3.934,0.502,0.04,1.006,0.021,51.103
dominanttree1Pinus:dominanttree2Picea:dominanttree3Rubus,0.006,-3.827,3.832,0.504,0.042,1.006,0.022,46.172
dominanttree1Pinus:dominanttree2Picea:dominanttree3Sambucus,-0.004,-3.905,3.847,0.501,0.041,0.996,0.02,46.872
dominanttree1Pinus:dominanttree2Pinus,-0.01,-3.942,3.862,0.5,0.041,0.99,0.019,47.569
dominanttree1Pinus:dominanttree2Pinus:dominanttree3Acer,0.008,-3.845,3.837,0.5,0.039,1.008,0.021,46.38
dominanttree1Pinus:dominanttree2Pinus:dominanttree3Betula,0.002,-3.887,3.92,0.501,0.04,1.002,0.02,50.425
dominanttree1Pinus:dominanttree2Pinus:dominanttree3Eucalyptus,-0.012,-3.839,3.78,0.504,0.04,0.988,0.022,43.795
dominanttree1Pinus:dominanttree2Pinus:dominanttree3Fagus,0.001,-3.936,3.921,0.502,0.044,1.001,0.02,50.447
dominanttree1Pinus:dominanttree2Pinus:dominanttree3Ilex,-0.013,-3.938,3.941,0.503,0.038,0.987,0.019,51.474
dominanttree1Pinus:dominanttree2Pinus:dominanttree3Pinus,-0.025,-3.875,3.891,0.503,0.038,0.975,0.021,48.95
dominanttree1Pinus:dominanttree2Pinus:dominanttree3Quercus,-0.006,-3.991,4.002,0.502,0.042,0.994,0.018,54.704
dominanttree1Pinus:dominanttree2Pinus:dominanttree3Rubus,-0.013,-3.922,3.839,0.501,0.04,0.987,0.02,46.459
dominanttree1Pinus:dominanttree2Pinus:dominanttree3Sambucus,-0.008,-3.972,3.992,0.5,0.043,0.992,0.019,54.147
dominanttree1Pinus:dominanttree2Prunus,0.016,-3.894,3.924,0.505,0.041,1.016,0.02,50.611
dominanttree1Pinus:dominanttree2Prunus:dominanttree3Acer,0.01,-3.913,3.945,0.504,0.039,1.01,0.02,51.7
dominanttree1Pinus:dominanttree2Prunus:dominanttree3Betula,0.008,-3.822,3.801,0.504,0.043,1.008,0.022,44.746
dominanttree1Pinus:dominanttree2Prunus:dominanttree3Eucalyptus,0.014,-4.046,4.108,0.502,0.04,1.014,0.017,60.822
dominanttree1Pinus:dominanttree2Prunus:dominanttree3Fagus,-0.024,-3.907,3.884,0.505,0.044,0.976,0.02,48.618
dominanttree1Pinus:dominanttree2Prunus:dominanttree3Ilex,0.001,-4.016,3.996,0.503,0.039,1.001,0.018,54.398
dominanttree1Pinus:dominanttree2Prunus:dominanttree3Pinus,0.009,-3.848,3.792,0.501,0.043,1.009,0.021,44.335
dominanttree1Pinus:dominanttree2Prunus:dominanttree3Quercus,-0.017,-3.886,3.879,0.502,0.042,0.983,0.021,48.369
dominanttree1Pinus:dominanttree2Prunus:dominanttree3Rubus,-0.006,-3.916,3.85,0.501,0.043,0.994,0.02,46.995
dominanttree1Pinus:dominanttree2Prunus:dominanttree3Sambucus,0.011,-3.906,3.948,0.5,0.038,1.011,0.02,51.845
dominanttree1Pinus:dominanttree2Quercus,1.149,-1.874,4.155,0.775,0.037,3.156,0.153,63.773
dominanttree1Pinus:dominanttree2Quercus:dominanttree3Acer,-0.01,-3.923,3.961,0.501,0.044,0.99,0.02,52.504
dominanttree1Pinus:dominanttree2Quercus:dominanttree3Betula,-0.009,-3.893,3.837,0.501,0.042,0.991,0.02,46.388
dominanttree1Pinus:dominanttree2Quercus:dominanttree3Eucalyptus,0.023,-3.858,3.908,0.507,0.038,1.023,0.021,49.81
dominanttree1Pinus:dominanttree2Quercus:dominanttree3Fagus,0.001,-3.977,3.926,0.501,0.041,1.001,0.019,50.689
dominanttree1Pinus:dominanttree2Quercus:dominanttree3Ilex,-0.185,-3.675,3.386,0.545,0.046,0.831,0.025,29.547
dominanttree1Pinus:dominanttree2Quercus:dominanttree3Pinus,-0.002,-3.847,3.807,0.5,0.039,0.998,0.021,45.037
dominanttree1Pinus:dominanttree2Quercus:dominanttree3Quercus,-0.426,-3.958,3.139,0.598,0.043,0.653,0.019,23.092
dominanttree1Pinus:dominanttree2Quercus:dominanttree3Rubus,0.001,-3.904,3.906,0.5,0.042,1.001,0.02,49.714
dominanttree1Pinus:dominanttree2Quercus:dominanttree3Sambucus,-0.001,-3.901,3.937,0.502,0.039,0.999,0.02,51.271
dominanttree1Pinus:dominanttree3Acer,0.007,-3.946,3.993,0.5,0.038,1.007,0.019,54.228
dominanttree1Pinus:dominanttree3Betula,0.013,-3.878,3.904,0.506,0.043,1.013,0.021,49.583
dominanttree1Pinus:dominanttree3Eucalyptus,0.005,-3.876,3.857,0.501,0.042,1.006,0.021,47.346
dominanttree1Pinus:dominanttree3Fagus,-0.027,-3.969,3.947,0.504,0.041,0.973,0.019,51.763
dominanttree1Pinus:dominanttree3Ilex,-0.199,-3.725,3.386,0.545,0.042,0.82,0.024,29.552
dominanttree1Pinus:dominanttree3Pinus,0.001,-3.912,3.936,0.504,0.039,1.001,0.02,51.198
dominanttree1Pinus:dominanttree3Quercus,-0.386,-3.71,2.963,0.592,0.048,0.68,0.024,19.353
dominanttree1Pinus:dominanttree3Rubus,-0.005,-4.009,3.898,0.503,0.04,0.995,0.018,49.305
dominanttree1Pinus:dominanttree3Sambucus,0.001,-3.932,3.91,0.504,0.037,1.001,0.02,49.921
dominanttree1Populus,0.292,-3.393,3.916,0.56,0.045,1.339,0.034,50.206
dominanttree1Populus:dominanttree2Acer,-0.003,-3.933,3.963,0.503,0.042,0.997,0.02,52.627
dominanttree1Populus:dominanttree2Acer:dominanttree3Acer,-0.016,-3.953,3.967,0.501,0.038,0.985,0.019,52.814
dominanttree1Populus:dominanttree2Acer:dominanttree3Betula,-0.012,-3.86,3.868,0.506,0.037,0.988,0.021,47.824
dominanttree1Populus:dominanttree2Acer:dominanttree3Eucalyptus,-0.008,-3.908,3.944,0.507,0.039,0.992,0.02,51.63
dominanttree1Populus:dominanttree2Acer:dominanttree3Fagus,-0.011,-3.982,3.964,0.506,0.041,0.989,0.019,52.647
dominanttree1Populus:dominanttree2Acer:dominanttree3Ilex,-0.009,-3.857,3.856,0.502,0.038,0.991,0.021,47.267
dominanttree1Populus:dominanttree2Acer:dominanttree3Pinus,-0.017,-3.819,3.853,0.508,0.04,0.983,0.022,47.13
dominanttree1Populus:dominanttree2Acer:dominanttree3Quercus,0.008,-3.774,3.832,0.505,0.039,1.008,0.023,46.151
dominanttree1Populus:dominanttree2Acer:dominanttree3Rubus,0.006,-4.015,3.919,0.504,0.039,1.006,0.018,50.359
dominanttree1Populus:dominanttree2Acer:dominanttree3Sambucus,-0.016,-3.91,3.839,0.502,0.039,0.984,0.02,46.468
dominanttree1Populus:dominanttree2Alnus,0.037,-3.924,4.044,0.504,0.038,1.037,0.02,57.08
dominanttree1Populus:dominanttree2Alnus:dominanttree3Acer,-0.004,-3.867,3.92,0.503,0.038,0.996,0.021,50.42
dominanttree1Populus:dominanttree2Alnus:dominanttree3Betula,-0.007,-3.898,3.908,0.504,0.043,0.993,0.02,49.815
dominanttree1Populus:dominanttree2Alnus:dominanttree3Eucalyptus,0.006,-3.961,3.97,0.502,0.042,1.006,0.019,53
dominanttree1Populus:dominanttree2Alnus:dominanttree3Fagus,-0.031,-3.988,3.905,0.505,0.038,0.969,0.019,49.666
dominanttree1Populus:dominanttree2Alnus:dominanttree3Ilex,-0.004,-4.005,4.031,0.5,0.041,0.996,0.018,56.336
dominanttree1Populus:dominanttree2Alnus:dominanttree3Pinus,0.008,-3.973,3.97,0.502,0.042,1.008,0.019,52.98
dominanttree1Populus:dominanttree2Alnus:dominanttree3Quercus,-0.028,-3.951,3.921,0.507,0.038,0.972,0.019,50.455
dominanttree1Populus:dominanttree2Alnus:dominanttree3Rubus,-0.027,-3.915,3.926,0.505,0.04,0.973,0.02,50.708
dominanttree1Populus:dominanttree2Alnus:dominanttree3Sambucus,0.013,-4.011,3.994,0.505,0.041,1.013,0.018,54.262
dominanttree1Populus:dominanttree2Betula,-0.014,-3.887,3.905,0.502,0.041,0.986,0.021,49.651
dominanttree1Populus:dominanttree2Betula:dominanttree3Acer,-0.011,-3.969,3.96,0.5,0.038,0.989,0.019,52.468
dominanttree1Populus:dominanttree2Betula:dominanttree3Betula,0.003,-3.901,3.924,0.5,0.04,1.003,0.02,50.605
dominanttree1Populus:dominanttree2Betula:dominanttree3Eucalyptus,0.004,-3.884,3.873,0.501,0.04,1.004,0.021,48.108
dominanttree1Populus:dominanttree2Betula:dominanttree3Fagus,-0.002,-3.843,3.875,0.501,0.042,0.998,0.021,48.17
dominanttree1Populus:dominanttree2Betula:dominanttree3Ilex,-0.003,-3.913,3.893,0.501,0.043,0.997,0.02,49.075
dominanttree1Populus:dominanttree2Betula:dominanttree3Pinus,0.01,-3.885,3.957,0.502,0.039,1.01,0.021,52.274
dominanttree1Populus:dominanttree2Betula:dominanttree3Quercus,-0.011,-3.976,3.918,0.501,0.041,0.989,0.019,50.282
dominanttree1Populus:dominanttree2Betula:dominanttree3Rubus,-0.001,-3.929,3.899,0.5,0.038,0.999,0.02,49.337
dominanttree1Populus:dominanttree2Betula:dominanttree3Sambucus,0.003,-3.84,3.803,0.5,0.045,1.003,0.021,44.818
dominanttree1Populus:dominanttree2Cedrus,-0.003,-3.909,3.951,0.5,0.041,0.997,0.02,51.993
dominanttree1Populus:dominanttree2Cedrus:dominanttree3Acer,-0.002,-3.84,3.837,0.505,0.037,0.998,0.022,46.387
dominanttree1Populus:dominanttree2Cedrus:dominanttree3Betula,-0.016,-3.918,3.904,0.506,0.039,0.984,0.02,49.592
dominanttree1Populus:dominanttree2Cedrus:dominanttree3Eucalyptus,0.011,-3.941,3.947,0.503,0.041,1.011,0.019,51.797
dominanttree1Populus:dominanttree2Cedrus:dominanttree3Fagus,-0.036,-3.994,3.901,0.506,0.037,0.964,0.018,49.474
dominanttree1Populus:dominanttree2Cedrus:dominanttree3Ilex,0.01,-3.927,3.939,0.503,0.039,1.01,0.02,51.352
dominanttree1Populus:dominanttree2Cedrus:dominanttree3Pinus,-0.01,-4.018,3.945,0.502,0.042,0.99,0.018,51.652
dominanttree1Populus:dominanttree2Cedrus:dominanttree3Quercus,-0.006,-3.934,3.929,0.501,0.039,0.994,0.02,50.855
dominanttree1Populus:dominanttree2Cedrus:dominanttree3Rubus,0.008,-3.838,3.915,0.5,0.04,1.008,0.022,50.165
dominanttree1Populus:dominanttree2Cedrus:dominanttree3Sambucus,0.008,-3.883,3.981,0.5,0.04,1.008,0.021,53.562
dominanttree1Populus:dominanttree2Crataegus,-0.004,-3.988,3.956,0.501,0.04,0.996,0.019,52.227
